Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link_Base,"0,0114159508946672","0,175577206152015","0,00188434605031392",0,0,0,"8,67596987352087","0,299819303764689","-0,00525325844755418","0,0119696542324205","0,372411485126987","-0,010467275298787","0,30471576885987",0,0,0,0,0,0,package://URDF.SLDASM/meshes/Link_Base.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/Link_Base.STL,,L00-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_X,"-0,00188434605031393","0,175577206152015","0,0288296448289109",0,0,0,"8,67596987352087","0,30471576885987","0,010467275298787","-0,0119696542324205","0,372411485126987","-0,00525325844755414","0,299819303764689",0,0,0,0,0,0,package://URDF.SLDASM/meshes/Link_X.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/Link_X.STL,,L01-1,Origin_J1,Axis_J1,J1,prismatic,"-0,017414",0,0,"1,5708",0,"1,5708",Link_Base,0,0,1,1000,1,0,"0,5",,,"0,01","0,1",,,,
Link_Z,"0,0850555171017934","0,175577206152015","0,00991818358297185",0,0,0,"8,67596987352087","0,30471576885987","0,010467275298787","-0,0119696542324205","0,372411485126987","-0,00525325844755414","0,299819303764689",0,0,0,0,0,0,package://URDF.SLDASM/meshes/Link_Z.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/Link_Z.STL,,L02-1,Origin_J2,Axis_J2,J2,prismatic,"-0,08694",0,"0,018911",0,0,0,Link_X,1,0,0,1000,0,0,"0,5",,,"0,01","0,1",,,,
Link_Y,"0,0565709384857237","0,073229775350901","0,00991818358297399",0,0,0,"8,67596987352087","0,30471576885987","0,0104672752987869","-0,0119696542324205","0,372411485126987","-0,00525325844755413","0,299819303764689",0,0,0,0,0,0,package://URDF.SLDASM/meshes/Link_Y.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/Link_Y.STL,,L03-1,Origin_J3,Axis_J3,J3,prismatic,"0,028485","0,10235",0,0,0,0,Link_Z,0,1,0,1000,0,0,"0,5",,,"0,01","0,1",,,,
